id	source_id	related_id		
46C5225E290048D38F8327150A907A67	441C39D9CBFC4B6FB9FB2A7FA96B8354	6366853A7D5248179A8EB8FB32815565		
47EA63CC40944A34B3DA691BB75B4F02	F45D3BB1BC5D46AEBE9C6E2D65887DFF	53005649877549C0BAEC58960AA0FAF8		
4DC8D30F542D4290B53E96B56813BE22	0D7483BFDFF04295A7791AE49ED09B78	53005649877549C0BAEC58960AA0FAF8		
56F2E242273B4BAB844D3A5AFF65418F	E2950013655D4C01A8F69E95227EC7AC	D5106EFD56AE4CC1B6DE9EC9879DDC9B		
5D75750A49F8414BA64DD1F1F5B0600F	0089CDF2BD3C44288B9646A88EC10A54	AB33ADB780C04772B27FFB197021CDFD		
675419E7E92D4E04B0C759890DC53623	12213A28901844C49CC05AD755D5A743	3141940FEE594ECBB8D0F5654267E499		
693A813D20F649DE935D0F915BF1298D	9228C7C6FFEB4FF59573D6FB3296C4A0	53005649877549C0BAEC58960AA0FAF8		
6B23222D87D6489FBFE2F01DA7582E76	39FC0A35469A4ED2BD3415041D47AFEA	A21583C25A2140B8AFEA05CCAC47FF7C		
717182421E6C461CB1E557A26B999119	D4BA81DFFE434B36B25BD7987FD2D88F	F80A41BC231846A5BE8D9A085048A769		
7897094AD36C4296B88285ACC4D7B1E0	BF4381DE8E8245B69C3C066C1ACFA297	F35D72593E9646A4B7C4DAA0A03283F8		
81FF4358F8F345209BEEB155CEA1FD44	39FC0A35469A4ED2BD3415041D47AFEA	835C3DE1411B459AB975C9ABF2F46739		
84219DC81EF14BC7B0C9DDC7E0B362DB	21884B7AF7D5474EB070CF1188780D9E	785B653D5FCB4EFAA22233667DFADB61		
85199B8886E34DE089A15C34071E64C1	9228C7C6FFEB4FF59573D6FB3296C4A0	2D9B7374C64243E48AFE004098CD0193		
856CC807C45746C78F9748A72568DE11	807F7931F4F6480B9B3769BFF4C88140	F8A8C23F55164844BABDD49C07AA0580		
870A7FD2C1AC4030A8B729F2752B0135	029AFC2B634246F7A7F1D33EEB45945F	53005649877549C0BAEC58960AA0FAF8		
88C7161B85D7458D96A3FD811ED53C2C	0D7483BFDFF04295A7791AE49ED09B78	00C7C877F0E945EE817314F8712AA7E4		
8DD2FEFB7D9545E4A57C5206AC2742AE	64192E41866B47E1BC8C2CE2536C2B2A	53005649877549C0BAEC58960AA0FAF8		
927B0002EDE94A3097870DC76CEDAF51	D4BA81DFFE434B36B25BD7987FD2D88F	53005649877549C0BAEC58960AA0FAF8		
96119E1E7AEF46DBBF897F4A4D993A9A	0089CDF2BD3C44288B9646A88EC10A54	413F3E8FC699482F915CD089CB730477		
98CEAF5B5F594C339345C77FB5B6C21F	807F7931F4F6480B9B3769BFF4C88140	53005649877549C0BAEC58960AA0FAF8		
A931D86CD5434B918782B762E7356168	53F3A173347E4631B71DD06BFCD38627	D9DB024B9D7B4D91BA9A0636ED55B86D		
AAA7C308001A4042A6FBC3F69582FE20	45BF68FC62DF4F9195424E118AA778F1	53005649877549C0BAEC58960AA0FAF8		
AF656A92B61E442BB2A502F5D0EC36E0	1B1D7C94A6D14F8F856E7675FB3573AD	53005649877549C0BAEC58960AA0FAF8		
BBB9F9D008214C73BC17B695AD1EA5DA	64192E41866B47E1BC8C2CE2536C2B2A	AB33ADB780C04772B27FFB197021CDFD		
BC3340E73FC8432ABA732AF8EA09CB81	1B1D7C94A6D14F8F856E7675FB3573AD	D9DA735CE7B54AA79A71646334CD3D48		
C326240D06524ADB8777BB89B68E17A9	12213A28901844C49CC05AD755D5A743	D81D79596246475BBCC86A8E6C11F20F		
C33110E8D2174C12A00034DCF715DB0A	1B1D7C94A6D14F8F856E7675FB3573AD	137AB4D5A3884BEF9751738E9D6E6B6A		
C3B4647E635C415CA98C4395627E8009	807F7931F4F6480B9B3769BFF4C88140	00C7C877F0E945EE817314F8712AA7E4		
C896447829D047CB8E2232B5D704DEF3	21884B7AF7D5474EB070CF1188780D9E	EAD8CFDF9E794159AEEE3702498FFBFE		
CA58A7D1D9034AB0AA4DB955A832BB3A	0089CDF2BD3C44288B9646A88EC10A54	53005649877549C0BAEC58960AA0FAF8		
D1697BA88E1044E0A66EAC19413902E0	39FC0A35469A4ED2BD3415041D47AFEA	53005649877549C0BAEC58960AA0FAF8		
D5FD5B4E2E1846FC93A8579AA9B1CBE4	807F7931F4F6480B9B3769BFF4C88140	33D9D7931CD3413B8FBED7C380112BB6		
DA8C63A999DF49C583BA88E2170FE783	F45D3BB1BC5D46AEBE9C6E2D65887DFF	320A1CE40FB94E9C92896DB523BE78CD		
E8654939BEF54C7DBC74632A99F80988	1BC64B0F12A9472481A3FE9F51BC4EB6	53005649877549C0BAEC58960AA0FAF8		
F2211C68711A4DECB24BC221D2867E59	EC150EE12CA24D5FAC2BE319DD620603	53005649877549C0BAEC58960AA0FAF8		
F74150E8739D480CBC9E2FC033BF6856	0D7483BFDFF04295A7791AE49ED09B78	69DA5886930344E2A684F270C0BB21B9		
F9F09242511F4DE2B01F0453D2228BD1	1B1D7C94A6D14F8F856E7675FB3573AD	00C7C877F0E945EE817314F8712AA7E4		
FD61500C49204F039A0379B4EDCA2FD1	0D7483BFDFF04295A7791AE49ED09B78	8908A56668DE4A9E8EA31389ACDD73C7		
FFBFFCA678F14A56850706ACCFEB5816	534B0B2819BD48D58E133D39E6BC596C	53005649877549C0BAEC58960AA0FAF8		
