id	source_id	related_id	quantity		
6C2DA7A013704EAF85F26348F42A08F8	31260D92299D40AE851F951588CC7BE5	89D6605395794CDAAB7302F06775E831	1		
7A39E6F0F5FB41CD957F64D62DF96753	31260D92299D40AE851F951588CC7BE5	89D6605395794CDAAB7302F06775E831	1		
8C7AD206A524499DB38FA86F3843F86D	D51DCA01994145B69F8FDE78CCFD5EF3	F4EA6DA08C864716B474BE57D13B829E	2		
7207F5C1BE604900A3C4A5C99ECFDE41	D51DCA01994145B69F8FDE78CCFD5EF3	648CA3FD86844DDEBCDCF22BE7427A50	1		
53FA228079F04A03B48E55FEAE3AC8DB	D51DCA01994145B69F8FDE78CCFD5EF3	03DFFF5A304144BDBFEB3AF79EEA61B6	1		
AC52542440B44F86813CAECC7596A39A	D51DCA01994145B69F8FDE78CCFD5EF3	38BDC711B97349C6BC23667235E3839E	1		
3415060065A042F4BF0D85E6DD71C280	4D4EA30EBC0641E1A5BEDA655ACF3487	35412899C6144D1A881886F9892DB737	1		
6802C2455E794C6DA648D056C0D17235	4D4EA30EBC0641E1A5BEDA655ACF3487	03DFFF5A304144BDBFEB3AF79EEA61B6	1		
9CCA14F7D18B4D419B89689C0E3F395A	4D4EA30EBC0641E1A5BEDA655ACF3487	648CA3FD86844DDEBCDCF22BE7427A50	1		
08D68F6261DE41AEA37CFC23F2C3CC99	4D4EA30EBC0641E1A5BEDA655ACF3487	F4EA6DA08C864716B474BE57D13B829E	2		
3EBF38831196447F9233C2766BE86EBC	44ACD171F7AB49318F4AB8FA68315D4D	F4EA6DA08C864716B474BE57D13B829E	2		
706BA468D41C47AF83D29098588F907C	44ACD171F7AB49318F4AB8FA68315D4D	648CA3FD86844DDEBCDCF22BE7427A50	1		
8537612B2B5649948273FAB95CA14F81	44ACD171F7AB49318F4AB8FA68315D4D	03DFFF5A304144BDBFEB3AF79EEA61B6	1		
66FC1847F00E46039F010D96C6C7858C	44ACD171F7AB49318F4AB8FA68315D4D	69316E7985684BF5AE0C2F6A781C98EF	1		
36B8433B60334F44BF75EBFC30C294F9	4CC63567DA66471DAB29D5A9C4ABA25A	E46B7CED44264149904CC1B46DEDD3DB	1		
30AADC97E5A243BBA5376C6F33094887	4CC63567DA66471DAB29D5A9C4ABA25A	03DFFF5A304144BDBFEB3AF79EEA61B6	1		
C19AC0E45A5E41968CB11BFE8E3ED1BF	4CC63567DA66471DAB29D5A9C4ABA25A	648CA3FD86844DDEBCDCF22BE7427A50	1		
583A7C21928B4CF1AE72D2D081A18DF8	4CC63567DA66471DAB29D5A9C4ABA25A	F4EA6DA08C864716B474BE57D13B829E	2		
C20C62C956B748C1951714EC47FFA232	BDADF015A8C94AF3B398C480EF803B0E	F4EA6DA08C864716B474BE57D13B829E	2		
23132AB8E0694C77A6413C9D722493FE	BDADF015A8C94AF3B398C480EF803B0E	648CA3FD86844DDEBCDCF22BE7427A50	1		
60B130B13A30479A8658E9A9AC9E8DC1	BDADF015A8C94AF3B398C480EF803B0E	E48782E4401F47DDA225259C9856D761	1		
7D357AD773DC462B8DDDD7B5F53BFCA4	BDADF015A8C94AF3B398C480EF803B0E	03DFFF5A304144BDBFEB3AF79EEA61B6	1		
79498CD218684004B6817932E8887804	08DA7C5D37964B74B7D35FF1A5320C8B	6E29134C7AEB41BF934EA7E3BD033637	1		
98B1B5C28A16474FA3A32EFCDA2296E8	08DA7C5D37964B74B7D35FF1A5320C8B	648CA3FD86844DDEBCDCF22BE7427A50	1		
BE055C97A3F04371BCA9DE23FED284AF	08DA7C5D37964B74B7D35FF1A5320C8B	03DFFF5A304144BDBFEB3AF79EEA61B6	1		
292B1E5112D642578F2401B504451554	08DA7C5D37964B74B7D35FF1A5320C8B	F4EA6DA08C864716B474BE57D13B829E	2		
052FD93170B3430DA053857BF6A39D94	34E7AF28666B43CAA2496018386B78FC	F4EA6DA08C864716B474BE57D13B829E	2		
06FEBDD49CF34A5FB0C64A9F01CB5BC7	34E7AF28666B43CAA2496018386B78FC	03DFFF5A304144BDBFEB3AF79EEA61B6	1		
47CE99A71AA245F0BCF532DFDEF2BDE4	34E7AF28666B43CAA2496018386B78FC	648CA3FD86844DDEBCDCF22BE7427A50	1		
7C75420212C14715887F2502F73444DE	34E7AF28666B43CAA2496018386B78FC	61B943F4BC4A4AC9A22B5E0E9F41924F	1		
A091A20BE447421E803A0C3BC90E3304	476EDA4D2FFB437F84A3877BDC9247A2	D346EACB7ADF4D6ABF773E7209E3A584	1		
48892B578DFC46B8BDA57D4DDF44A22E	476EDA4D2FFB437F84A3877BDC9247A2	365EDA7EE5484B45832391F04ACA2F5D	1		
DDA14AC27B7740ADA017238DEE3C7B2C	476EDA4D2FFB437F84A3877BDC9247A2	496BE961C62D49C6B2C99FA4E9B5C9C5	1		
9F3A8A5E220646EFA383E7D95498E0CD	476EDA4D2FFB437F84A3877BDC9247A2	3C368713D84D43E5954B9CFE1363BC85	1		
DF2912D5A1384EF8912C546B3CFAA1D7	5A970D681EB04DB48B59FB7E053C2600	27C28F7B24E543F7A99426A0A75C5838	1		
CA497086757C4247878B6279EDD1909F	5A970D681EB04DB48B59FB7E053C2600	D80A7A1919F84B519E2A59604CEA3F3D	1		
6A76432F8A5E42DEA651AE5F2C4FD5D3	5A970D681EB04DB48B59FB7E053C2600	D346EACB7ADF4D6ABF773E7209E3A584	1		
BE0F7C4F929F4A6D880868880AEA2E25	5A970D681EB04DB48B59FB7E053C2600	365EDA7EE5484B45832391F04ACA2F5D	1		
4C6D5A61EECB443D916ABFAF123E3EB5	088498B840B44BEAA79227E3758FF77B	365EDA7EE5484B45832391F04ACA2F5D	1		
6A8B55863A92476BBB734776AB5C4566	088498B840B44BEAA79227E3758FF77B	5DD9D047D77B4DDFAEF4D72528FC3610	1		
EA15853A17D24F48A6C084B219C45D7D	088498B840B44BEAA79227E3758FF77B	D80A7A1919F84B519E2A59604CEA3F3D	1		
7ACCDA18916442FC8500A05CD644145A	088498B840B44BEAA79227E3758FF77B	27C28F7B24E543F7A99426A0A75C5838	1		
DEFA132D9FBF44CE9AD38DE3BB6EE969	9774A8A808D44E98BA733A133127D795	27C28F7B24E543F7A99426A0A75C5838	1		
59BC2BA566C840DA9B133128FDD42D62	9774A8A808D44E98BA733A133127D795	D80A7A1919F84B519E2A59604CEA3F3D	1		
A5FA1E18BB5E46E5BD967E1409A8B31B	9774A8A808D44E98BA733A133127D795	365EDA7EE5484B45832391F04ACA2F5D	1		
48E618EE007443F59B8AEFFF414A39BC	9774A8A808D44E98BA733A133127D795	D346EACB7ADF4D6ABF773E7209E3A584	1		
D97EB96BBEBD424F8F1F8BD3ECF8A653	0F988173E012417B97C339C7153A6385	441953F8976E47488D267A25972777F8	1		
F750AB2B841841B0B3A23A7BFEFD754C	0F988173E012417B97C339C7153A6385	365EDA7EE5484B45832391F04ACA2F5D	1		
2938E81186A749DCBE5C7E856332127E	0F988173E012417B97C339C7153A6385	D80A7A1919F84B519E2A59604CEA3F3D	1		
5B575190073F4F50BE31BFE3FB26CA0F	0F988173E012417B97C339C7153A6385	27C28F7B24E543F7A99426A0A75C5838	1		
