id	item_number	definition	string_notation	description
1E6304973B62419E8B1B1EC4D2E650C2	00000363	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><OR><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="84EE381695124933A79919386A6F3972"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="5D5CF2A579A843798A7C77610C52FAA7"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="2D4ADBD9709C467F8AD29CD359279FAB"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="C0369CAE69DB46AFAFA73B6B1ECC102D"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="6AC30EAC60FE45C0A929DE61E4BA03E6"></named-constant></EQ></OR></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN [Frame Size] = 42cm OR [Frame Size] = [46.5cm] OR [Frame Size] = 50cm OR [Frame Size] = [55.5cm] OR [Frame Size] = [58.5cm]	Road Bike Frame Sizes
225DB5749FCC43A9B14F54EA8E0A144A	00000364	<expression><IMPLICATION><CONDITION><EQ><variable id="135FC145CCD24E289B799A293A996B9B"></variable><named-constant id="F9286CC5DCE640B5B26255B064AFBB84"></named-constant></EQ></CONDITION><CONSEQUENCE><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="9A765453105B4456BF4AAC7863FE9A7F"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Handlebar Type] = [Riser Bar] THEN [Handlebar Width] = [30.7 inches]	Riser Handlebar
25FFC35CD2404465B73506A0A2FB7D1C	00000365	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="A21583C25A2140B8AFEA05CCAC47FF7C"></variable><named-constant id="82FE7F47E39F4628A2DB8F2C53AAB3AD"></named-constant></EQ><EQ><variable id="835C3DE1411B459AB975C9ABF2F46739"></variable><named-constant id="88CD6559FF5E48A4BC2D02D80A8204D0"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] THEN [Bottom Bracket Type] = [Non-Threaded] AND [Bottom Bracket Width] = 73mm	Fat Bike Bottom Bracket
2894D0327093462C97139DA69C1CE6BA	00000366	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="2EEB8648D04C4D85A95F46D65B36BE5F"></named-constant></EQ></CONDITION><CONSEQUENCE><NOT><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="C0B87EA574094C3A8F301FC9D48D27F3"></named-constant></EQ></NOT></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Mountain Bike] THEN NOT ([Bicycle Size] = [X-Small])	Mountain Bike Sizes
29B0E2F123324BA8A6A6D42B4DF5DD51	00000367	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="135FC145CCD24E289B799A293A996B9B"></variable><named-constant id="0B969B5BBFDA4B8C8707D12EC7E06C32"></named-constant></EQ><OR><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="084C96CB0A224188B19429E5F062DF0E"></named-constant></EQ><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="AF3103163AF5434AA9901ED6DE21876B"></named-constant></EQ><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="FA18EEF1F8DB4F029AA7C2A05047F19C"></named-constant></EQ></OR></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN [Handlebar Type] = [Drop Bar] AND ([Handlebar Width] = [15.7 inches] OR [Handlebar Width] = [16.5 inches] OR [Handlebar Width] = [17.3 inches])	Road Bike Handlebar Assembly
2CAA1F582D20472AA282AA1E2E720C10	00000368	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><EQ><variable id="2D9B7374C64243E48AFE004098CD0193"></variable><named-constant id="5B82088622BB4A5B8A2EC6DEDCB77D64"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN Shocks = [No Shocks]	Road Bike Shocks
2EC43B7FCEA14F8E942638D689AA4FAC	00000369	<expression><IMPLICATION><CONDITION><AND><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="C0B87EA574094C3A8F301FC9D48D27F3"></named-constant></EQ></AND></CONDITION><CONSEQUENCE><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="84EE381695124933A79919386A6F3972"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] AND [Bicycle Size] = [X-Small] THEN [Frame Size] = 42cm	Road Bike X-Small Frame
2F15DBD6B17A41C2986EC5E20849F4E1	00000370	<expression><IMPLICATION><CONDITION><EQ><variable id="F8A8C23F55164844BABDD49C07AA0580"></variable><named-constant id="F60CE00363034BDD8C59FA33E90D663A"></named-constant></EQ></CONDITION><CONSEQUENCE><OR><EQ><variable id="33D9D7931CD3413B8FBED7C380112BB6"></variable><named-constant id="3E86CD78FABE434993F4AB2B1EC2C570"></named-constant></EQ><EQ><variable id="33D9D7931CD3413B8FBED7C380112BB6"></variable><named-constant id="9CC4BEFF684B46F798CBB38BA3C04F56"></named-constant></EQ><EQ><variable id="33D9D7931CD3413B8FBED7C380112BB6"></variable><named-constant id="D2B39C1CE2F54BB7A767CE7E9ECC7FFF"></named-constant></EQ><EQ><variable id="33D9D7931CD3413B8FBED7C380112BB6"></variable><named-constant id="EB4D4F00837A4180AC5569C5DF1110F1"></named-constant></EQ><EQ><variable id="33D9D7931CD3413B8FBED7C380112BB6"></variable><named-constant id="5AC5C5429C93497D958E9F1357423FBE"></named-constant></EQ><EQ><variable id="33D9D7931CD3413B8FBED7C380112BB6"></variable><named-constant id="CC576077E21F4D52BA6D559EF638A2A8"></named-constant></EQ></OR></CONSEQUENCE></IMPLICATION></expression>	IF [Stem Material] = Aluminum THEN [Stem Length] = [2 inches] OR [Stem Length] = [2.3 inches] OR [Stem Length] = [2.75 inches] OR [Stem Length] = [3.9 inches] OR [Stem Length] = [4.3 inches] OR [Stem Length] = [3.5 inches]	Aluminum Stems
301AD6189D3B44F68BA6E0017143C39A	00000371	<expression><IMPLICATION><CONDITION><AND><OR><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="2EEB8648D04C4D85A95F46D65B36BE5F"></named-constant></EQ><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></OR><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="CC195BCDCA914E9280EB6DEE8413C65A"></named-constant></EQ></AND></CONDITION><CONSEQUENCE><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="900E27BF40D34FDA9C863EBB5AEA6DA9"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF ([Bicycle Type] = [Mountain Bike] OR [Bicycle Type] = [Fat Bike]) AND [Bicycle Size] = Small THEN [Frame Size] = [17 inches]	Mtn/Fat Bike Small Frame
3051022393734C538331D430825C678D	00000372	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="BCFEACD2D00D4E6C8560B20BE2E34D34"></variable><named-constant id="33DF2BF35E7C480992AE37EFC4E44A7B"></named-constant></EQ><EQ><variable id="8ACC8129718F487EAAA2ADDB15408CFB"></variable><named-constant id="9B319A908D764BF499FDE7BB9AD58200"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] THEN [Brake Lever Type] = [Hydraulic Disc Brake Lever] AND [Brake Type] = [Disc Brake]	Fat Bike Brakes
31DE2C9D7204409DB08A2DD843C8C8D2	00000373	<expression><IMPLICATION><CONDITION><EQ><variable id="413F3E8FC699482F915CD089CB730477"></variable><named-constant id="A9B28362CC894EB2871D0CBACFE7A0F3"></named-constant></EQ></CONDITION><CONSEQUENCE><OR><EQ><variable id="AB33ADB780C04772B27FFB197021CDFD"></variable><named-constant id="A1F393ED06344113B6A3D5B671B88467"></named-constant></EQ><EQ><variable id="AB33ADB780C04772B27FFB197021CDFD"></variable><named-constant id="D4F1CCA2E2EC4DAB8C05CB99C5AA2949"></named-constant></EQ><EQ><variable id="AB33ADB780C04772B27FFB197021CDFD"></variable><named-constant id="0E53DE3ADA99459E889C820D4FC55CC8"></named-constant></EQ><EQ><variable id="AB33ADB780C04772B27FFB197021CDFD"></variable><named-constant id="8A0805F535D248BDBF2AC8B144A36C14"></named-constant></EQ><EQ><variable id="AB33ADB780C04772B27FFB197021CDFD"></variable><named-constant id="4FC280B8F3794DF98FFB9BF1E40A5D88"></named-constant></EQ></OR></CONSEQUENCE></IMPLICATION></expression>	IF [Cage Length] = Long THEN [Cogs Combinations] = [10-50] OR [Cogs Combinations] = [10-42] OR [Cogs Combinations] = [11-42] OR [Cogs Combinations] = [11-46] OR [Cogs Combinations] = [11-40]	Long Derailleur
34972C9911094421AF0034DEB350680E	00000374	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="282D35D4D4DD4488B6C79675050E76B9"></variable><named-constant id="3307818124184239A5E19F5EF624CFC4"></named-constant></EQ><EQ><variable id="6366853A7D5248179A8EB8FB32815565"></variable><named-constant id="15E9147D35FB4DA2BE309AEE50BC7D02"></named-constant></EQ><EQ><variable id="3141940FEE594ECBB8D0F5654267E499"></variable><named-constant id="2910C62A753C406EA7283E7502853B87"></named-constant></EQ><EQ><variable id="D81D79596246475BBCC86A8E6C11F20F"></variable><named-constant id="52BA807AC66545C68AF39E73EDEA0089"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] THEN [Rim Width] = [3.9 inches] AND [Rim Size] = [26 inches] AND [Tire Width] = [3.9 inches] AND [Tire Size] = [26 inches]	Fat Bike Wheelset
3550430296EC4EC8B9F5D2BF7A2202F0	00000375	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></CONDITION><CONSEQUENCE><OR><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="900E27BF40D34FDA9C863EBB5AEA6DA9"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="860C5844157C4505B0B6E473446355AB"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="0ED4F9F6B72C4DC1931B92135F5E17A6"></named-constant></EQ><EQ><variable id="2348FEDB34DE42D3B7A70F17C0DBB36F"></variable><named-constant id="F7074143B2E14E85ABB1A9EE5B651F6E"></named-constant></EQ></OR></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] THEN [Frame Size] = [17 inches] OR [Frame Size] = [19 inches] OR [Frame Size] = [21 inches] OR [Frame Size] = [23 inches]	Fat Bike Frame Sizes
35D8240A04384296AD7EE0DDD14F7B69	00000376	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></CONDITION><CONSEQUENCE><EQ><variable id="F80A41BC231846A5BE8D9A085048A769"></variable><named-constant id="3110F1E658AB4A6BBC20489CDF82C80F"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] THEN [Pedal Type] = [Flat Pedal]	Fat Bike Pedal
38154ADA9A574102AE9D8EDC0FDCEE0C	00000377	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="6D433897A17E44408D6CE1AED0396EDF"></named-constant></EQ></CONDITION><CONSEQUENCE><AND><EQ><variable id="7D3BD5DC755846C68BD228F4F14B5E18"></variable><named-constant id="6570C32CF86C407F9F69B4806EA447EE"></named-constant></EQ><EQ><variable id="320A1CE40FB94E9C92896DB523BE78CD"></variable><named-constant id="8E4BDCAEAA0E4F6E8FD0563F25BFADFE"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Road Bike] THEN Travel = [No Travel] AND [Fork Material] = Aluminum	Road Bike Fork
38E5E4092FE642178D374EE832EDC65C	00000378	<expression><IMPLICATION><CONDITION><AND><EQ><variable id="135FC145CCD24E289B799A293A996B9B"></variable><named-constant id="0B969B5BBFDA4B8C8707D12EC7E06C32"></named-constant></EQ><OR><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="C0B87EA574094C3A8F301FC9D48D27F3"></named-constant></EQ><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="CC195BCDCA914E9280EB6DEE8413C65A"></named-constant></EQ></OR></AND></CONDITION><CONSEQUENCE><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="084C96CB0A224188B19429E5F062DF0E"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Handlebar Type] = [Drop Bar] AND ([Bicycle Size] = [X-Small] OR [Bicycle Size] = Small) THEN [Handlebar Width] = [15.7 inches]	X-Small/Small Dropbar
3A5D9F15275347BEA485B5A0F8A9EF41	00000379	<expression><IMPLICATION><CONDITION><EQ><variable id="135FC145CCD24E289B799A293A996B9B"></variable><named-constant id="0B969B5BBFDA4B8C8707D12EC7E06C32"></named-constant></EQ></CONDITION><CONSEQUENCE><OR><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="084C96CB0A224188B19429E5F062DF0E"></named-constant></EQ><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="AF3103163AF5434AA9901ED6DE21876B"></named-constant></EQ><EQ><variable id="D9DB024B9D7B4D91BA9A0636ED55B86D"></variable><named-constant id="FA18EEF1F8DB4F029AA7C2A05047F19C"></named-constant></EQ></OR></CONSEQUENCE></IMPLICATION></expression>	IF [Handlebar Type] = [Drop Bar] THEN [Handlebar Width] = [15.7 inches] OR [Handlebar Width] = [16.5 inches] OR [Handlebar Width] = [17.3 inches]	Drop Handlebar
3FA86DF13D754D58B9487616C2E749D6	00000380	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ></CONDITION><CONSEQUENCE><NOT><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="C0B87EA574094C3A8F301FC9D48D27F3"></named-constant></EQ></NOT></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] THEN NOT ([Bicycle Size] = [X-Small])	Fat Bike Sizes
44263E49729F41838837E411F3465B12	00000381	<expression><IMPLICATION><CONDITION><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="2EEB8648D04C4D85A95F46D65B36BE5F"></named-constant></EQ></CONDITION><CONSEQUENCE><EQ><variable id="F80A41BC231846A5BE8D9A085048A769"></variable><named-constant id="0F2F8143D20F40A3AD09ADD411CE641E"></named-constant></EQ></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Mountain Bike] THEN [Pedal Type] = [Off-Road Clipless Pedal]	Mountain Bike Pedal
4612F997D7D7438F9C78B3496806CDFD	00000382	<expression><IMPLICATION><CONDITION><EQ><variable id="6366853A7D5248179A8EB8FB32815565"></variable><named-constant id="F03552CE264F4EFEB495622B8DF97CD9"></named-constant></EQ></CONDITION><CONSEQUENCE><OR><EQ><variable id="282D35D4D4DD4488B6C79675050E76B9"></variable><named-constant id="29AC9A2391AD41E5A120F94C86586939"></named-constant></EQ><EQ><variable id="282D35D4D4DD4488B6C79675050E76B9"></variable><named-constant id="6CD77033AFF14CDEAB73C83FB6FD5D78"></named-constant></EQ><EQ><variable id="282D35D4D4DD4488B6C79675050E76B9"></variable><named-constant id="1A467A45748F4F76ACF49A393B1F8DFC"></named-constant></EQ></OR></CONSEQUENCE></IMPLICATION></expression>	IF [Rim Size] = 700c THEN [Rim Width] = 23c OR [Rim Width] = 25c OR [Rim Width] = 28c	26" Wheelset
46B0409E291748818D44E0C83223EBBD	00000383	<expression><IMPLICATION><CONDITION><AND><EQ><variable id="53005649877549C0BAEC58960AA0FAF8"></variable><named-constant id="BB931A8CE66D4757B52A98B47EFAC364"></named-constant></EQ><EQ><variable id="00C7C877F0E945EE817314F8712AA7E4"></variable><named-constant id="794E7FEC14A44ED99D1DACEE0E804BA6"></named-constant></EQ><EQ><variable id="69DA5886930344E2A684F270C0BB21B9"></variable><named-constant id="C9D913C77E784E2F9B5399CC68CBBF91"></named-constant></EQ></AND></CONDITION><CONSEQUENCE><AND><EQ><variable id="33D9D7931CD3413B8FBED7C380112BB6"></variable><named-constant id="9CC4BEFF684B46F798CBB38BA3C04F56"></named-constant></EQ><EQ><variable id="F8A8C23F55164844BABDD49C07AA0580"></variable><named-constant id="F60CE00363034BDD8C59FA33E90D663A"></named-constant></EQ></AND></CONSEQUENCE></IMPLICATION></expression>	IF [Bicycle Type] = [Fat Bike] AND [Bicycle Size] = Large AND [Frame Material] = Titanium THEN [Stem Length] = [2.3 inches] AND [Stem Material] = Aluminum	Large Fat Bike Stem
